#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r
1,AFG,,,Afghanistan,Afghanistan,,Afghanistan,Afghanistan,,Afganistán,Afganistán,,Афганистан,Афганистан
2,ALB,,,Albania,Albania,,Albanie,Albanie,,Albania,Albania,,Албания,Албания
3,DZA,,,Algeria,Algeria,,Algérie,Algérie,,Argelia,Argelia,,Алжир,Алжир
4,AGO,,,Angola,Angola,,Angola,Angola,,Angola,Angola,,Ангола,Ангола
5,AIA,,,Anguilla,Anguilla,,Anguilla,Anguilla,,Anguila,Anguila,,Ангилья,Ангилья
6,ATA,,,Antarctica,Antarctica,,Antarctique,Antarctique,,Antártida,Antártida,,Антарктика,Антарктика
7,ATG,,,Antigua and Barbuda,Antigua and Barbuda,,Antigua-et-Barbuda,Antigua-et-Barbuda,,Antigua y Barbuda,Antigua y Barbuda,,Антигуа и Барбуда,Антигуа и Барбуда
8,ARG,,,Argentina,Argentina,,Argentine,Argentine,,Argentina,Argentina,,Аргентина,Аргентина
9,ARM,,,Armenia,Armenia,,Arménie,Arménie,,Armenia,Armenia,,Армения,Армения
10,AUS,,,Australia,Australia,,Australie,Australie,,Australia,Australia,,Австралия,Австралия
11,AUT,,,Austria,Austria,,Autriche,Autriche,,Austria,Austria,,Австрия,Австрия
12,AZE,,,Azerbaijan,Azerbaijan,,Azerbaïdjan,Azerbaïdjan,,Azerbaiyán,Azerbaiyán,,Азербайджан,Азербайджан
13,BHS,,,Bahamas,Bahamas,,Bahamas,Bahamas,,Bahamas,Bahamas,,Багамские Острова,Багамские Острова
14,BHR,,,Bahrain,Bahrain,,Bahreïn,Bahreïn,,Bahrein,Bahrein,,Бахрейн,Бахрейн
15,BGD,,,Bangladesh,Bangladesh,,Bangladesh,Bangladesh,,Bangladesh,Bangladesh,,Бангладеш,Бангладеш
16,BRB,,,Barbados,Barbados,,Barbade,Barbade,,Barbados,Barbados,,Барбадос,Барбадос
17,BLR,,,Belarus,Belarus,,Bélarus,Bélarus,,Belarús,Belarús,,Беларусь,Беларусь
18,BEL,,,Belgium,Belgium,,Belgique,Belgique,,Bélgica,Bélgica,,Бельгия,Бельгия
19,BLZ,,,Belize,Belize,,Belize,Belize,,Belice,Belice,,Белиз,Белиз
20,BEN,,,Benin,Benin,,Bénin,Bénin,,Benin,Benin,,Бенин,Бенин
21,BMU,,,Bermuda,Bermuda,,Bermudes,Bermudes,,Bermuda,Bermuda,,Бермуды,Бермуды
22,BTN,,,Bhutan,Bhutan,,Bhoutan,Bhoutan,,Bhután,Bhután,,Бутан,Бутан
23,BOL,,,"Bolivia, Plurinational State of","Bolivia, Plurinational State of",,"Bolivie, État plurinational de","Bolivie, État plurinational de",,"Bolivia, Estado Plurinacional de","Bolivia, Estado Plurinacional de",,"Боливия, Многонациональное Государство","Боливия, Многонациональное Государство"
24,BIH,,,Bosnia and Herzegovina,Bosnia and Herzegovina,,Bosnie-Herzégovine,Bosnie-Herzégovine,,Bosnia y Herzegovina,Bosnia y Herzegovina,,Босния и Герцеговина,Босния и Герцеговина
25,BWA,,,Botswana,Botswana,,Botswana,Botswana,,Botswana,Botswana,,Ботсвана,Ботсвана
26,BRA,,,Brazil,Brazil,,Brésil,Brésil,,Brasil,Brasil,,Бразилия,Бразилия
27,BCT,,,British Caribbean Territories,British Caribbean Territories,,Territoires britanniques des Caraïbes,Territoires britanniques des Caraïbes,,Territorios Británicos del Caribe,Territorios Británicos del Caribe,,Британские карибские территории,Британские карибские территории
28,VGB,,,British Virgin Islands,British Virgin Islands,,Îles Vierges britanniques,Îles Vierges britanniques,,Islas Vírgenes Británicas,Islas Vírgenes Británicas,,Британские Виргинские Острова,Британские Виргинские Острова
29,BRN,,,Brunei Darussalam,Brunei Darussalam,,Brunéi Darussalam,Brunéi Darussalam,,Brunei Darussalam,Brunei Darussalam,,Бруней-Даруссалам,Бруней-Даруссалам
30,BGR,,,Bulgaria,Bulgaria,,Bulgarie,Bulgarie,,Bulgaria,Bulgaria,,Болгария,Болгария
31,BFA,,,Burkina Faso,Burkina Faso,,Burkina Faso,Burkina Faso,,Burkina Faso,Burkina Faso,,Буркина-Фасо,Буркина-Фасо
32,BDI,,,Burundi,Burundi,,Burundi,Burundi,,Burundi,Burundi,,Бурунди,Бурунди
33,CPV,,,Cabo Verde,Cabo Verde,,Cabo Verde,Cabo Verde,,Cabo Verde,Cabo Verde,,Кабо-Верди,Кабо-Верди
34,KHM,,,Cambodia,Cambodia,,Cambodge,Cambodge,,Camboya,Camboya,,Камбоджа,Камбоджа
35,CMR,,,Cameroon,Cameroon,,Cameroun,Cameroun,,Camerún,Camerún,,Камерун,Камерун
36,CAN,,,Canada,Canada,,Canada,Canada,,Canadá,Canadá,,Канада,Канада
37,CYM,,,Cayman Islands,Cayman Islands,,Îles Caïmanes,Îles Caïmanes,,Islas Caimán,Islas Caimán,,Каймановы Острова,Каймановы Острова 
38,CAF,,,Central African Republic,Central African Republic,,République centrafricaine,République centrafricaine,,República Centroafricana,República Centroafricana,,Центральноафриканская Республика,Центральноафриканская Республика
39,TCD,,,Chad,Chad,,Tchad,Tchad,,Chad,Chad,,Чад,Чад
40,CHL,,,Chile,Chile,,Chili,Chili,,Chile,Chile,,Чили,Чили
41,CHN,,,China,China,,Chine,Chine,,China,China,,Китай,Китай
42,CXR,,,Christmas Island,Christmas Island,,Île Christmas,Île Christmas,,Isla de Navidad,Isla de Navidad,,Остров Рождества,Остров Рождества
43,CCK,,,Cocos (Keeling) Islands,Cocos (Keeling) Islands,,Îles des Cocos (Keeling),Îles des Cocos (Keeling),,Islas Cocos (Keeling),Islas Cocos (Keeling),,Кокосовые острова(о-ва Килинг),Кокосовые острова(о-ва Килинг)
44,COL,,,Colombia,Colombia,,Colombie,Colombie,,Colombia,Colombia,,Колумбия,Колумбия
45,COM,,,Comoros,Comoros,,Comores,Comores,,Comoras,Comoras,,Коморские Острова,Коморские Острова
46,COG,,,Congo,Congo,,Congo,Congo,,Congo,Congo,,Конго,Конго
47,COD,,,"Congo, Democratic Republic of the","Congo, Democratic Republic of the",,République démocratique du Congo,République démocratique du Congo,,"Congo, República Democrática del","Congo, República Democrática del",,Конго (Демократическая Республика),Конго (Демократическая Республика)
48,COK,,,Cook Islands,Cook Islands,,Îles Cook,Îles Cook,,Islas Cook,Islas Cook,,Острова Кука,Острова Кука
49,CRI,,,Costa Rica,Costa Rica,,Costa Rica,Costa Rica,,Costa Rica,Costa Rica,,Коста-Рика,Коста-Рика
50,CIV,,,Côte d'Ivoire,Cote d'Ivoire,,Cote d’Ivoire,Cote d’Ivoire,,Cote d'Ivoire,Cote d'Ivoire,,Кот-д'Ивуар,Кот-д'Ивуар
51,HRV,,,Croatia,Croatia,,Croatie,Croatie,,Croacia,Croacia,,Хорватия,Хорватия
52,CUB,,,Cuba,Cuba,,Cuba,Cuba,,Cuba,Cuba,,Куба,Куба
53,CUW,,,Curacao and Sint Maarten,Curacao and Sint Maarten,,Curacao et Saint-Martin,Curacao et Saint-Martin,,Curacao y San Martín,Curacao y San Martín,,Курасао и Сан-Мартин,Курасао и Сан-Мартин
54,CYP,,,Cyprus,Cyprus,,Chypre,Chypre,,Chipre,Chipre,,Кипр,Кипр
55,CZE,,,Czechia,Czechia,,République tchèque,République tchèque,,República Checa,República Checa,,Чешская Республика,Чешская Республика
56,DNK,,,Denmark,Denmark,,Danemark,Danemark,,Dinamarca,Dinamarca,,Дания,Дания
57,DJI,,,Djibouti,Djibouti,,Djibouti,Djibouti,,Djibouti,Djibouti,,Джибути,Джибути
58,DMA,,,Dominica,Dominica,,Dominique,Dominique,,Dominica,Dominica,,Доминика,Доминика
59,DOM,,,Dominican Republic,Dominican Republic,,République dominicaine,République dominicaine,,República Dominicana,República Dominicana,,Доминиканская Республика,Доминиканская Республика
60,ECU,,,Ecuador,Ecuador,,Équateur,Équateur,,Ecuador,Ecuador,,Эквадор,Эквадор
61,EGY,,,Egypt,Egypt,,Égypte,Égypte,,Egipto,Egipto,,Египет,Египет
62,SLV,,,El Salvador,El Salvador,,El Salvador,El Salvador,,El Salvador,El Salvador,,Сальвадор,Сальвадор
63,GNQ,,,Equatorial Guinea,Equatorial Guinea,,Guinée équatoriale,Guinée équatoriale,,Guinea Ecuatorial,Guinea Ecuatorial,,Экваториальная Гвинея,Экваториальная Гвинея
64,ERI,,,Eritrea,Eritrea,,Érythrée,Érythrée,,Eritrea,Eritrea,,Эритрея,Эритрея
65,EST,,,Estonia,Estonia,,Estonie,Estonie,,Estonia,Estonia,,Эстония,Эстония
66,ETH,,,Ethiopia,Ethiopia,,Éthiopie,Éthiopie,,Etiopía,Etiopía,,Эфиопия,Эфиопия
67,FLK,,,Falkland Islands (Malvinas),Falkland Islands (Malvinas),,Îles Falkland (Malvinas),Îles Falkland (Malvinas),,Islas Malvinas (Falkland),Islas Malvinas (Falkland),,Фолклендские (Мальвинские Острова),Фолклендские (Мальвинские Острова) 
68,FJI,,,Fiji,Fiji,,Fidji,Fidji,,Fiji,Fiji,,Фиджи,Фиджи
69,FIN,,,Finland,Finland,,Finlande,Finlande,,Finlandia,Finlandia,,Финляндия,Финляндия
70,FRA,,,France,France,,France,France,,Francia,Francia,,Франция,Франция
71,PYF,,,French Polynesia,French Polynesia,,Polynésie française,Polynésie française,,Polinesia Francesa,Polinesia Francesa,,Французская Полинезия,Французская Полинезия
72,GAB,,,Gabon,Gabon,,Gabon,Gabon,,Gabón,Gabón,,Габон,Габон
73,GMB,,,Gambia,Gambia,,Gambie,Gambie,,Gambia,Gambia,,Гамбия,Гамбия
74,GEO,,,Georgia,Georgia,,Géorgie,Géorgie,,Georgia,Georgia,,Грузия,Грузия
75,DEU,,,Germany,Germany,,Allemagne,Allemagne,,Alemania,Alemania,,Германия,Германия
76,GHA,,,Ghana,Ghana,,Ghana,Ghana,,Ghana,Ghana,,Гана,Гана
77,GIB,,,Gibraltar,Gibraltar,,Gibraltar,Gibraltar,,Gibraltar,Gibraltar,,Гибралтар,Гибралтар 
78,GRC,,,Greece,Greece,,Grèce,Grèce,,Grecia,Grecia,,Греция,Греция
79,GRL,,,Greenland,Greenland,,Groenland,Groenland,,Groenlandia,Groenlandia,,Гренландия,Гренландия
80,GRD,,,Grenada,Grenada,,Grenade,Grenade,,Granada,Granada,,Гренада,Гренада
81,GTM,,,Guatemala,Guatemala,,Guatemala,Guatemala,,Guatemala,Guatemala,,Гватемала,Гватемала
82,GIN,,,Guinea,Guinea,,Guinée,Guinée,,Guinea,Guinea,,Гвинея,Гвинея
83,GNB,,,Guinea-Bissau,Guinea-Bissau,,Guinée-Bissau,Guinée-Bissau,,Guinea-Bissau,Guinea-Bissau,,Гвинея-Бисау,Гвинея-Бисау
84,GUY,,,Guyana,Guyana,,Guyana,Guyana,,Guyana,Guyana,,Гайана,Гайана
85,HTI,,,Haiti,Haiti,,Haïti,Haïti,,Haití,Haití,,Гаити,Гаити
86,HND,,,Honduras,Honduras,,Honduras,Honduras,,Honduras,Honduras,,Гондурас,Гондурас
87,HKG,,,"Hong Kong, China","Hong Kong, China",,"Hong Kong, Chine","Hong Kong, Chine",,"Hong Kong, China","Hong Kong, China",,"Гонконг, Китай","Гонконг, Китай"
88,HUN,,,Hungary,Hungary,,Hongrie,Hongrie,,Hungría,Hungría,,Венгрия,Венгрия
89,ISL,,,Iceland,Iceland,,Islande,Islande,,Islandia,Islandia,,Исландия,Исландия
90,IND,,,India,India,,Inde,Inde,,India,India,,Индия,Индия
91,IDN,,,Indonesia,Indonesia,,Indonésie,Indonésie,,Indonesia,Indonesia,,Индонезия,Индонезия
92,IRN,,,"Iran, Islamic Republic of","Iran, Islamic Republic of",,"Iran, République islamique d’","Iran, République islamique d’",,"Iran, República Islámica del","Iran, República Islámica del",,Иран (Исламская Республика),Иран (Исламская Республика)
93,IRQ,,,Iraq,Iraq,,Iraq,Iraq,,Iraq,Iraq,,Ирак,Ирак
94,IRL,,,Ireland,Ireland,,Irlande,Irlande,,Irlanda,Irlanda,,Ирландия,Ирландия
95,ISR,,,Israel,Israel,,Israël,Israël,,Israel,Israel,,Израиль,Израиль
96,ITA,,,Italy,Italy,,Italie,Italie,,Italia,Italia,,Италия,Италия
97,JAM,,,Jamaica,Jamaica,,Jamaïque,Jamaïque,,Jamaica,Jamaica,,Ямайка,Ямайка
98,JPN,,,Japan,Japan,,Japon,Japon,,Japón,Japón,,Япония,Япония
99,JOR,,,Jordan,Jordan,,Jordanie,Jordanie,,Jordania,Jordania,,Иордания,Иордания
100,KAZ,,,Kazakhstan,Kazakhstan,,Kazakhstan,Kazakhstan,,Kazakhstan,Kazakhstan,,Казахстан,Казахстан
101,KEN,,,Kenya,Kenya,,Kenya,Kenya,,Kenya,Kenya,,Кения,Кения
102,KIR,,,Kiribati,Kiribati,,Kiribati,Kiribati,,Kiribati,Kiribati,,Кирибати,Кирибати
103,PRK,,,"Korea, Democratic People's Republic of","Korea, Democratic People's Republic of",,"Corée, République démocratique populaire de","Corée, République démocratique populaire de",,"Corea, República Popular Democrática de","Corea, República Popular Democrática de",,Корея (Народно-Демократическая Республика),Корея (Народно-Демократическая Республика)
104,KOR,,,"Korea, Republic of","Korea, Republic of",,"Corée, République de","Corée, République de",,"Corea, República de","Corea, República de",,Республика Корея,Республика Корея
105,KWT,,,Kuwait,Kuwait,,Koweït,Koweït,,Kuwait,Kuwait,,Кувейт,Кувейт
106,KGZ,,,Kyrgyzstan,Kyrgyzstan,,Kirghizistan,Kirghizistan,,Kirguistán,Kirguistán,,Кыргызстан,Кыргызстан
107,LAO,,,Lao People's Democratic Republic,Lao People's Democratic Republic,,République démocratique populaire lao,République démocratique populaire lao,,República Democrática Popular Lao (la),República Democrática Popular Lao (la),,Лаосская Народно-Демократическая Республика,Лаосская Народно-Демократическая Республика
108,LVA,,,Latvia,Latvia,,Lettonie,Lettonie,,Letonia,Letonia,,Латвия,Латвия
109,LBN,,,Lebanon,Lebanon,,Liban,Liban,,Líbano,Líbano,,Ливан,Ливан
110,LSO,,,Lesotho,Lesotho,,Lesotho,Lesotho,,Lesotho,Lesotho,,Лесото,Лесото
111,LBR,,,Liberia,Liberia,,Libéria,Libéria,,Liberia,Liberia,,Либерия,Либерия
112,LBY,,,Libya,Libya,,Libye,Libye,,Libia,Libia,,Ливия,Ливия
113,LIE,,,Liechtenstein,Liechtenstein,,Liechtenstein,Liechtenstein,,Liechtenstein,Liechtenstein,,Лихтенштейн,Лихтенштейн
114,LTU,,,Lithuania,Lithuania,,Lituanie,Lituanie,,Lituania,Lituania,,Литва,Литва
115,LUX,,,Luxembourg,Luxembourg,,Luxembourg,Luxembourg,,Luxemburgo,Luxemburgo,,Люксембург,Люксембург
116,MAC,,,"Macao, China","Macao, China",,"Macao, Chine","Macao, Chine",,"Macao, China","Macao, China",,"Macao, Китай","Macao, Китай"
117,MKD,,,"Macedonia, the former Yugoslav Republic of","Macedonia, the former Yugoslav Republic of",,"Macédoine, ex-République yougoslave de","Macédoine, ex-République yougoslave de",,"Macedonia, ex República Yugoslava de","Macedonia, ex República Yugoslava de",,Македония (бывшая югославская Республика),Македония (бывшая югославская Республика)
118,MDG,,,Madagascar,Madagascar,,Madagascar,Madagascar,,Madagascar,Madagascar,,Мадагаскар,Мадагаскар
119,MWI,,,Malawi,Malawi,,Malawi,Malawi,,Malawi,Malawi,,Малави,Малави
120,MYS,,,Malaysia,Malaysia,,Malaisie,Malaisie,,Malasia,Malasia,,Малайзия,Малайзия
121,MDV,,,Maldives,Maldives,,Maldives,Maldives,,Maldivas,Maldivas,,Мальдивские Острова (Мальдивы),Мальдивские Острова (Мальдивы)
122,MLI,,,Mali,Mali,,Mali,Mali,,Malí,Malí,,Мали,Мали
