#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r,
1,landFixed,,,Land (fixed) ,"Station/platform on solid terrain, at fixed position",,Terrestre (fixe),Station/plate-forme sur terrain solide (position fixe),,Tierra (fija) ,"Plataforma/estación en tierra firme, en una posición fija",,Наземная (фиксированная) ,Станция/платформа на твердом участке местности в фиксированной позиции,
2,landMobile,,,Land (mobile),"Station/platform on solid terrain, moving around",,Terrestre (mobile) ,Station/plate-forme itinérante sur terrain solide,,Tierra (móvil),"Plataforma/estación en tierra firme, en movimiento",,Наземная (мобильная),Станция/платформа на твердом участке местности перемещающаяся,
3,seaFixed,,,Sea (fixed),"Station/platform at sea surface, at fixed position",,En mer (fixe),Station/plate-forme à la surface de la mer (position fixe),,Mar (fija),"Plataforma/estación sobre la superficie del mar, en una posición fija",,Морская (фиксированная),Станция/платформа на морской поверхности в фиксированной позиции,
4,seaMobile,,,Sea (mobile),"Station/platform at sea surface, moving around",,En mer (mobile),Station/plate-forme itinérante à la surface de la mer,,Mar (móvil),"Plataforma/estación sobre la superficie del mar, en movimiento",,Морская (мобильная),Станция/платформа на морской поверхности перемещающаяся,
5,airFixed,,,Air (fixed),"Airborne station/platform, at fixed position",,Dans les airs (fixe) ,Station/plate-forme aéroportée (position fixe),,Aire (fija),"Plataforma/estación aérea, en una posición fija",,Воздушная (фиксированная),"Станция/платформа, находящася в воздухе в фиксированной позиции",
6,airMobile,,,Air (mobile),"Airborne station/platform, moving around",,Dans les airs (mobile),Station/plate-forme itinérante et aéroportée,,Aire (móvil),"Plataforma/estación aérea, en movimiento",,Воздушная (мобильная),"Станция/платформа, находящаяся в воздухе, перемещающаяся",
7,underwaterFixed,,,Underwater (fixed),"Station/platform under water, at fixed horizontal position",,Sous-marine (fixe),Station/plate-forme sous-marine (position horizontale fixe),,Submarina (fija),"Plataforma/estación submarina, en una posición fija horizontal",,Подводная (фиксированная),Станция/платформа под водой в фиксированной горизонтальной позиции,
8,underwaterMobile,,,Underwater (mobile),"Station/platform under water, moving around",,Sous-marine (mobile),Station/plate-forme itinérante et sous-marine,,Submarina (móvil),"Plataforma/estación submarina, en movimiento",,Подводная (мобильная),Станция/платформа под водой перемещающаяся,
9,landOnIce,,,Land (on ice) ,"Station/platform on ice-covered ground, moving with the ice",,Terrestre (sur glace),"Station/plate-forme sur inlandsis, se déplaçant avec la glace",,Tierra (sobre el hielo) ,"Plataforma/estación en tierra cubierta de hielo, que se mueve con el hielo",,Наземная (на льду) ,"Станция/платформа на покрытой льдом земле, перемещающаяся вместе со льдом",
10,seaOnIce,,,Sea (on ice),"Station/platform on floating ice, moving with the ice",,En mer (sur glace),"Station/plate-forme sur glace flottante, se déplaçant avec la glace",,Mar (sobre el hielo),"Plataforma/estación sobre hielo flotante, que se mueve con el hielo",,Морская (на льду),"Станция/платформа на плавающем льду, перемещающаяся вместе со льдом",
11,lakeRiverFixed,,,Lake/River (fixed),"Station/platform at lake/river surface, at fixed position",,Sur lac/rivière (fixe),Station/plate-forme à la surface d’un lac ou d’une rivière (position fixe),,Lago/río (fija),"Plataforma/estación en la superficie de un lago o un río, en una posición fija",,Озерная/речная (фиксированная),Станция/платформа на поверхности озера/реки в фиксированной горизонтальной позиции,
12,lakeRiverMobile,,,Lake/River (mobile),"station/platform at lake/river surface, moving around",,Sur lac/rivière (mobile),Station/plate-forme itinérante à la surface d’un lac ou d’une rivière,,Lago/río (móvil),"Plataforma/estación en la superficie de un lago o un río, en movimiento",,Озерная/речная (мобильная),Станция/платформа на поверхности озера/реки перемещающаяся ,
13,spaceBased,,,Space-based,Satellite platform in orbit,,Dans l’espace,Plate-forme satellitaire en orbite,,Espacial,Plataforma a bordo de un satélite en órbita,,Космическая,Спутниковая платформа на орбите,
