WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e
annualBroadleafVegetation,,,Annual broadleaf vegetation,NA
deciduousBroadleafVegetation,,,Deciduous broadleaf vegetation,NA
deciduousNeedleleafVegetation,,,Deciduous needleleaf vegetation,NA
evergreenBroadleafVegetation,,,Evergreen broadleaf vegetation,NA
evergreenNeedleleafVegetation,,,Evergreen needleleaf vegetation,NA
nonVegetated,,,Non-vegetated land,NA
notApplicable,,,Not applicable,None of the codes in the table are applicable in the context of this particular observation (nilReason)
unclassified,,,Unclassified,NA
urban,,,Urban,NA
water,,,Water,NA
