notation,path,name,description
126,"hydrological, soil moisture, in situ",Gravimetric moisture determination,Measurement of the amount of water in soil by weighing a sample before and after drying it in an oven at a temperature of 100-110 degrees Celsius. [Based on ‘gravimetric method’ in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]
128,\Terrestrial\Soil heat flux\In situ\Heat flux plate,Soil heat flux plate,
159,"hydrological, soil moisture, in situ",Neutron probe,Measurement of the moisture content and hence the porosity of a geological formation by means of lowering a tool containing a radioactive element emitting neutrons and a neutron detector into a borehole. [Based on 'neutron logging' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]
187,"hydrological, soil moisture, in situ",Electrical resistance blocks (Porous blocks),"Determination of electrical resistance between two electrodes embedded in blocks of a porous material buried in the ground and in equilibrium with the surrounding moist soil. [Based on 'porous blocks/electrical resistance blocks' in Guide to Hydrological Practices (WMO-No. 168), Volume II. 2009 edition.]"
194,\Terrestrial\Soil temperature\In situ\Soil thermometer,Soil thermometer,
200,"hydrological, soil moisture, in situ",Tensiometer,"Measurement of soil capillary tension by means of a porous cup, inserted in the soil, connected to a manometer by a water-filled tube. [Based on 'tensiometer' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]"
203,"hydrological, soil moisture, in situ",Time domain reflectometry (TDR),Estimation of water content in unsaturated materials based on variations in their dielectric properties. [International Glossary of Hydrology (WMO-No. 385). 2012 edition.]
260,\Terrestrial\Snow depth\Ultrasonic ranging,Ultrasonic ranging,Transmission of an ultrasonic pulse towards the target and listening for a return echo from that target.
261,\Terrestrial\Snow depth\Graduated device,Graduated device,"Manual measurement or observation made with a graduated fixed stake, a sturdy ruler, or an extendable graduated rod."
262,\Terrestrial\Water equivalent of snow cover\Snow pillows and snow scales,Snow pillows and snow scales,Weighing of snow-cover mass per unit area.
344,\Terrestrial\Snow depth\Laser ranging,Laser ranging,Emission of a modulated beam of light in the visible spectrum to determine the distance to a target by comparing the phase information from the reflected beam.
345,"hydrological, soil moisture, in situ",Echo sounding,"Evaluation of the return time of acoustic waves emitted into a medium to determine the distance between source and target. This method is used in hydrology, for example, to determine the depth of a water body. [Based on 'echo sounder' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]"
346,"hydrological, soil moisture, in situ",Frequency domain reflectometry,"Measurement of soil capacitance by means of radio frequency waves. The soil acts as the dielectric completing a capacitance circuit, which is part of a feedback loop of a high-frequency transistor oscillator. [Based on 'Frequency domain reflectometry' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]"
347,"hydrological, soil moisture, in situ",Gamma-ray attenuation,"Determination of gamma-ray attenuation at given depth of soil using a source and a detector placed at a given distance at the same depth. If the apparent dry bulk density of the soil is known the signal can be converted into a measure of the volumetric soil-moisture content. [Based on 'Gamma-ray attenuation' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]"
348,"hydrological, water stage, in situ, non-recording",Non-recording gauge,"Determination of water stage by means of a non-recording gauge (e.g., graduated vertical or inclined staff gauge, wire-weight gauge, graduated rod, tape or point gauge and maximum-stage gauge). [Based on 'Non-recording gauges' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]"
